account_id,customer_id,account_type,currency,opened_on,closed_on,overdraft_limit
1,1,current,GBP,2024-11-28,,0.00
2,6573,savings,USD,2024-10-03,,0.00
3,435,credit_card,GBP,2025-09-11,,0.00
4,1,loan,GBP,2024-01-27,,0.00
5,1047,current,GBP,2024-04-18,,1000.00
6,1,current,USD,2025-08-25,,1000.00
7,27,savings,GBP,2024-06-30,,0.00
8,1212,current,GBP,2025-07-25,,1000.00
9,189,current,GBP,2024-01-11,,500.00
10,3,current,GBP,2025-05-28,,500.00
11,3,savings,GBP,2025-12-28,,0.00
12,4,savings,GBP,2024-11-24,,0.00
13,248,current,USD,2024-10-01,,0.00
14,240,savings,GBP,2024-09-19,,0.00
15,75,current,EUR,2025-02-25,,250.00
16,9,loan,EUR,2025-04-19,,0.00
17,3,current,GBP,2024-12-03,,2000.00
18,67,current,GBP,2024-08-04,,500.00
19,1,loan,GBP,2024-02-18,,0.00
20,92,savings,GBP,2025-12-08,,0.00
21,507,current,USD,2025-02-13,,2000.00
22,11,savings,USD,2024-09-19,,0.00
23,339,credit_card,GBP,2024-10-06,,0.00
24,168,current,GBP,2025-07-03,,250.00
25,2,current,GBP,2025-02-01,,1000.00
26,39,current,GBP,2025-12-24,,1000.00
27,1,savings,GBP,2025-10-25,,0.00
28,115,savings,GBP,2025-04-15,,0.00
29,2,savings,USD,2024-03-01,2025-05-22,0.00
30,24,current,GBP,2025-07-07,,250.00
31,2,current,GBP,2024-12-09,,0.00
32,1,current,EUR,2024-12-01,,2000.00
33,4,credit_card,GBP,2024-12-20,,0.00
34,313,current,GBP,2025-11-08,,2000.00
35,43,current,GBP,2025-07-26,,250.00
36,116,current,USD,2025-12-18,,0.00
37,117,current,GBP,2025-07-25,,250.00
38,2,savings,GBP,2024-02-20,,0.00
39,15,savings,USD,2025-07-26,,0.00
40,55,savings,EUR,2024-05-15,,0.00
41,8,current,EUR,2025-08-09,,2000.00
42,90,savings,GBP,2024-03-26,,0.00
43,2024,credit_card,GBP,2025-04-23,,0.00
44,155,savings,GBP,2024-11-12,,0.00
45,803,current,GBP,2025-05-09,,0.00
46,1,current,USD,2025-04-08,,1000.00
47,3,current,EUR,2025-02-27,,250.00
48,1915,current,GBP,2025-12-09,,0.00
49,13,savings,EUR,2024-03-24,,0.00
50,1,savings,GBP,2025-09-30,,0.00
51,228,current,EUR,2024-02-04,,2000.00
52,1,current,GBP,2025-12-30,,250.00
53,5905,current,GBP,2024-12-06,,1000.00
54,7,savings,USD,2025-12-17,2026-06-22,0.00
55,70,savings,USD,2024-05-22,,0.00
56,20,current,GBP,2025-02-09,,250.00
57,6713,savings,GBP,2025-03-20,,0.00
58,24,current,GBP,2024-12-06,,0.00
59,1,credit_card,GBP,2025-04-02,,0.00
60,47,current,GBP,2024-03-13,,2000.00
61,223,current,EUR,2024-06-23,,1000.00
62,1,current,USD,2025-09-20,,0.00
63,81,loan,USD,2024-06-15,,0.00
64,61,savings,USD,2024-12-12,2026-02-21,0.00
65,148,savings,GBP,2024-04-29,,0.00
66,1,credit_card,GBP,2025-02-25,,0.00
67,163,current,USD,2024-12-28,2025-10-28,1000.00
68,43,savings,GBP,2024-04-12,,0.00
69,3,savings,GBP,2024-04-12,,0.00
70,48,credit_card,EUR,2025-11-02,,0.00
71,17,credit_card,USD,2024-09-04,,0.00
72,2,credit_card,GBP,2024-02-06,,0.00
73,1,savings,GBP,2024-10-17,,0.00
74,2,savings,GBP,2025-12-21,,0.00
75,2,savings,GBP,2024-06-22,,0.00
76,1,current,GBP,2025-01-24,,0.00
77,1,current,GBP,2024-08-09,,0.00
78,379,current,USD,2025-07-04,,500.00
79,1,loan,GBP,2024-09-15,,0.00
80,2,savings,EUR,2024-12-01,,0.00
81,6603,savings,USD,2024-08-07,,0.00
82,254,current,GBP,2024-03-18,,0.00
83,73,savings,GBP,2025-09-20,,0.00
84,3,credit_card,GBP,2025-05-04,,0.00
85,869,savings,GBP,2025-12-02,,0.00
86,11,current,USD,2025-09-09,,250.00
87,1,credit_card,USD,2025-05-21,2025-11-24,0.00
88,2,savings,EUR,2024-07-26,,0.00
89,8,current,GBP,2025-05-31,,500.00
90,1,credit_card,USD,2025-09-27,,0.00
91,296,current,USD,2024-12-08,,0.00
92,9,current,USD,2025-03-31,,1000.00
93,6,savings,EUR,2025-05-25,,0.00
94,4339,current,USD,2025-08-28,,2000.00
95,117,loan,EUR,2024-04-30,,0.00
96,12,current,GBP,2025-12-30,,250.00
97,2,current,GBP,2025-05-22,,250.00
98,2,current,USD,2024-03-25,,500.00
99,48,savings,USD,2025-01-13,,0.00
100,597,loan,GBP,2025-01-09,,0.00
101,1,current,USD,2024-11-29,,1000.00
102,100,savings,GBP,2024-03-12,,0.00
103,351,savings,GBP,2024-10-10,,0.00
104,1077,savings,GBP,2025-09-07,,0.00
105,1,credit_card,USD,2025-10-03,,0.00
106,103,savings,GBP,2024-01-24,,0.00
107,5,current,GBP,2024-11-07,,500.00
108,760,savings,USD,2025-11-20,,0.00
109,1,savings,USD,2025-12-08,,0.00
110,12,current,GBP,2025-02-15,2026-01-23,0.00
111,4,current,GBP,2025-06-18,,250.00
112,129,savings,EUR,2024-09-13,,0.00
113,1,current,GBP,2025-12-25,,250.00
114,1,savings,USD,2025-01-12,,0.00
115,6417,savings,USD,2024-06-08,,0.00
116,9,savings,GBP,2024-10-03,,0.00
117,26,credit_card,EUR,2025-06-03,,0.00
118,438,loan,GBP,2025-07-19,,0.00
119,5790,credit_card,GBP,2024-06-17,,0.00
120,443,savings,GBP,2025-06-03,,0.00
121,1171,savings,USD,2025-07-09,2026-01-06,0.00
122,4972,current,GBP,2025-09-23,,0.00
123,70,savings,GBP,2025-08-06,,0.00
124,104,credit_card,GBP,2025-08-22,,0.00
125,50,current,GBP,2025-09-19,,500.00
126,2461,current,GBP,2024-08-10,,1000.00
127,178,current,GBP,2025-01-06,,250.00
128,827,current,GBP,2025-03-07,,250.00
129,1,savings,GBP,2024-03-06,,0.00
130,6,current,GBP,2025-02-12,,0.00
131,4,savings,USD,2025-05-18,,0.00
132,1,savings,GBP,2025-06-15,,0.00
133,6,current,GBP,2025-02-15,,1000.00
134,3,savings,GBP,2025-02-21,,0.00
135,166,savings,GBP,2025-07-28,,0.00
136,1,loan,GBP,2025-08-30,2026-06-17,0.00
137,3207,current,USD,2024-01-08,,250.00
138,4639,current,GBP,2025-10-10,,500.00
139,309,savings,USD,2024-02-29,,0.00
140,1,current,USD,2024-02-21,,250.00
141,4696,loan,GBP,2025-07-05,,0.00
142,1,savings,GBP,2024-10-18,,0.00
143,2639,current,GBP,2025-06-14,,2000.00
144,35,savings,EUR,2024-01-10,,0.00
145,13,current,GBP,2025-09-20,,1000.00
146,48,current,GBP,2025-04-28,,0.00
147,482,savings,USD,2024-03-28,,0.00
148,6,current,EUR,2025-08-02,,1000.00
149,925,credit_card,GBP,2024-09-28,2025-03-19,0.00
150,599,savings,USD,2024-04-17,,0.00
151,17,credit_card,GBP,2024-10-19,,0.00
152,2,current,GBP,2024-08-13,,2000.00
153,26,current,USD,2025-10-08,,500.00
154,4422,credit_card,GBP,2024-11-22,,0.00
155,1179,savings,USD,2024-07-29,,0.00
156,2,savings,GBP,2024-11-29,,0.00
157,6,savings,GBP,2024-04-06,2024-09-14,0.00
158,1,current,GBP,2025-05-26,,2000.00
159,2,current,GBP,2024-05-07,,250.00
160,607,current,GBP,2024-02-25,,2000.00
161,534,current,USD,2024-10-07,,2000.00
162,6531,current,GBP,2024-02-02,,0.00
163,157,current,EUR,2024-12-09,,1000.00
164,16,current,USD,2024-08-06,,250.00
165,64,current,GBP,2025-11-12,,1000.00
166,10,loan,USD,2024-12-23,,0.00
167,1,current,EUR,2024-08-28,,0.00
